bin_start,probability
0.000000000000000000e+00,3.903724597994605305e-02
1.000000000000000000e+01,4.627094099803029381e-02
2.000000000000000000e+01,4.083537510208843507e-02
3.000000000000000000e+01,3.112410522486908776e-02
4.000000000000000000e+01,2.516008153348843826e-02
5.000000000000000000e+01,2.330018461707399069e-02
6.000000000000000000e+01,2.165990652473800265e-02
7.000000000000000000e+01,2.016375328570350206e-02
8.000000000000000000e+01,2.003335460890691422e-02
9.000000000000000000e+01,1.863328460540674206e-02
1.000000000000000000e+02,1.667044136520551625e-02
1.100000000000000000e+02,1.734302401394579446e-02
1.200000000000000000e+02,1.657435812967118782e-02
1.300000000000000000e+02,1.608707886374710974e-02
1.400000000000000000e+02,1.527037136170534062e-02
1.500000000000000000e+02,1.559979959782302819e-02
1.600000000000000000e+02,1.591550165743581269e-02
1.700000000000000000e+02,1.582628151015393753e-02
1.800000000000000000e+02,1.563411503908528760e-02
1.900000000000000000e+02,1.577137680413432524e-02
2.000000000000000000e+02,1.640278092335989424e-02
2.100000000000000000e+02,1.586746003966865021e-02
2.200000000000000000e+02,1.627238224656330987e-02
2.300000000000000000e+02,1.634101312908782522e-02
2.400000000000000000e+02,1.589491239267845635e-02
2.500000000000000000e+02,1.659494739442854416e-02
2.600000000000000000e+02,1.675279842423493815e-02
2.700000000000000000e+02,1.641650709986479731e-02
2.800000000000000000e+02,1.695869107180849114e-02
2.900000000000000000e+02,1.719203607239185375e-02
3.000000000000000000e+02,1.662926283569080357e-02
3.100000000000000000e+02,1.631356077607801908e-02
3.200000000000000000e+02,1.623806680530105045e-02
3.300000000000000000e+02,1.594981709869807210e-02
3.400000000000000000e+02,1.559979959782302819e-02
3.500000000000000000e+02,1.564097812733774087e-02
3.600000000000000000e+02,1.497525856684991073e-02
3.700000000000000000e+02,1.404874165276891358e-02
3.800000000000000000e+02,1.305359385616339588e-02
3.900000000000000000e+02,1.360950400461199451e-02
4.000000000000000000e+02,1.260063003150157547e-02
4.100000000000000000e+02,1.212707694208239873e-02
4.200000000000000000e+02,1.159861914664360623e-02
4.300000000000000000e+02,1.117997076324404523e-02
4.400000000000000000e+02,1.120742311625385138e-02
4.500000000000000000e+02,1.012305517236646198e-02
4.600000000000000000e+02,9.814216201006129014e-03
4.700000000000000000e+02,9.519103406150699123e-03
4.800000000000000000e+02,8.345515314981434563e-03
4.900000000000000000e+02,8.414146197505953384e-03
5.000000000000000000e+02,7.453313842162695955e-03
5.100000000000000000e+02,7.144474870802363861e-03
5.200000000000000000e+02,6.767005016917512945e-03
5.300000000000000000e+02,6.561112369343957348e-03
5.400000000000000000e+02,6.437576780799824511e-03
5.500000000000000000e+02,5.614006190505603858e-03
5.600000000000000000e+02,5.339482660407530307e-03
5.700000000000000000e+02,5.215947071863397469e-03
5.800000000000000000e+02,4.605132217395183081e-03
5.900000000000000000e+02,4.742393982444219856e-03
6.000000000000000000e+02,4.248251628267687638e-03
6.100000000000000000e+02,4.159031480985814211e-03
6.200000000000000000e+02,3.877644862635288691e-03
6.300000000000000000e+02,3.843329421373029280e-03
6.400000000000000000e+02,3.383502508458756473e-03
6.500000000000000000e+02,3.012895742826357092e-03
6.600000000000000000e+02,3.019758831078808627e-03
6.700000000000000000e+02,2.813866183505253898e-03
6.800000000000000000e+02,2.470711770882661959e-03
6.900000000000000000e+02,2.381491623600788098e-03
7.000000000000000000e+02,2.244229858551751323e-03
7.100000000000000000e+02,1.962843240201225803e-03
7.200000000000000000e+02,1.811855298647285306e-03
7.300000000000000000e+02,1.887349269424255446e-03
7.400000000000000000e+02,1.571647209811470949e-03
7.500000000000000000e+02,1.544194856801663508e-03
7.600000000000000000e+02,1.537331768549211755e-03
7.700000000000000000e+02,1.509879415539404314e-03
7.800000000000000000e+02,1.365754562237915786e-03
7.900000000000000000e+02,1.132409561654553398e-03
8.000000000000000000e+02,9.471061788383537076e-04
8.100000000000000000e+02,1.159861914664360623e-03
8.200000000000000000e+02,9.951477966055166224e-04
8.300000000000000000e+02,9.539692670908055680e-04
8.400000000000000000e+02,8.441598550515761260e-04
8.500000000000000000e+02,8.304336785466724050e-04
8.600000000000000000e+02,7.000350017500874900e-04
8.700000000000000000e+02,6.931719134976356295e-04
8.800000000000000000e+02,8.235705902942205446e-04
8.900000000000000000e+02,7.068980900025393505e-04
9.000000000000000000e+02,7.274873547598948234e-04
9.100000000000000000e+02,5.833625014584062959e-04
9.200000000000000000e+02,6.451302957304728232e-04
9.300000000000000000e+02,4.461007364093694662e-04
9.400000000000000000e+02,5.147316189338879081e-04
9.500000000000000000e+02,5.010054424289841872e-04
9.600000000000000000e+02,4.323745599044657995e-04
9.700000000000000000e+02,4.186483833995621327e-04
9.800000000000000000e+02,3.431544126225919387e-04
9.900000000000000000e+02,3.500175008750437450e-04
1.000000000000000000e+03,3.568805891274956055e-04
1.010000000000000000e+03,3.568805891274956055e-04
1.020000000000000000e+03,1.921664710686514694e-04
1.030000000000000000e+03,3.980591186422066056e-04
1.040000000000000000e+03,2.882497066029772177e-04
1.050000000000000000e+03,2.539342653407180238e-04
1.060000000000000000e+03,2.951127948554290240e-04
1.070000000000000000e+03,2.607973535931698301e-04
1.080000000000000000e+03,2.607973535931698301e-04
1.090000000000000000e+03,2.813866183505253572e-04
1.100000000000000000e+03,1.715772063112959694e-04
1.110000000000000000e+03,2.058926475735551361e-04
1.120000000000000000e+03,1.578510298063922756e-04
1.130000000000000000e+03,1.441248533014886089e-04
1.140000000000000000e+03,1.647141180588441089e-04
1.150000000000000000e+03,1.715772063112959694e-04
1.160000000000000000e+03,1.578510298063922756e-04
1.170000000000000000e+03,8.235705902942205446e-05
1.180000000000000000e+03,1.784402945637478027e-04
1.190000000000000000e+03,1.509879415539404422e-04
1.200000000000000000e+03,1.029463237867775681e-04
1.210000000000000000e+03,1.509879415539404422e-04
1.220000000000000000e+03,1.303986767965849150e-04
1.230000000000000000e+03,1.166725002916812483e-04
1.240000000000000000e+03,1.509879415539404422e-04
1.250000000000000000e+03,1.235355885441330817e-04
1.260000000000000000e+03,1.029463237867775681e-04
1.270000000000000000e+03,6.176779427206654084e-05
1.280000000000000000e+03,9.608323553432573472e-05
1.290000000000000000e+03,9.608323553432573472e-05
1.300000000000000000e+03,1.029463237867775681e-04
1.310000000000000000e+03,8.235705902942205446e-05
1.320000000000000000e+03,6.176779427206654084e-05
